datetime,open,high,low,close,vol,band_10,band_9,band_8,band_7,band_6,band_5,mrs_close,RP,MRP,band_4,band_3,band_2,band_1,score
2003-12-18,108.55,109.73,108.39,109.72,29659700.0,G,G,G,G,G,G,105.73980769230769,100.0,0.0,G,G,G,G,10.0
2003-12-19,109.3,109.37,108.58,108.9,41034200.0,,G,G,G,G,G,105.82903846153847,100.0,0.0,B,G,G,G,8.0
2003-12-22,108.79,109.66,108.78,109.66,27437200.0,,G,G,G,G,G,105.93788461538462,100.0,0.0,G,G,G,G,9.0
2003-12-23,109.48,109.95,109.38,109.73,24405700.0,G,G,G,G,G,G,106.04269230769229,100.0,0.0,G,G,G,G,10.0
2003-12-24,109.52,109.88,109.43,109.62,7946400.0,,G,G,G,G,G,106.13980769230768,100.0,0.0,B,G,G,G,8.0
2003-12-26,109.71,110.08,109.63,109.7,8308400.0,,G,G,G,G,G,106.2321153846154,100.0,0.0,B,G,G,G,8.0
2003-12-29,110.1,111.27,110.09,111.16,22394900.0,G,G,G,G,G,G,106.34538461538462,100.0,0.0,G,G,G,G,10.0
2003-12-30,111.09,111.27,110.88,111.18,19437800.0,,G,G,G,G,G,106.46442307692307,100.0,0.0,G,G,G,G,9.0
2003-12-31,111.22,111.52,110.84,111.28,30338100.0,G,G,G,G,G,G,106.5773076923077,100.0,0.0,B,G,G,G,9.0
2004-01-02,111.74,112.19,110.73,111.23,37945400.0,,G,G,G,G,G,106.71134615384615,100.0,0.0,B,G,G,G,8.0
2004-01-05,111.69,112.52,111.59,112.44,27964400.0,G,G,G,G,G,G,106.85365384615385,100.0,0.0,G,G,G,G,10.0
2004-01-06,112.16,112.73,112.0,112.55,20450200.0,G,G,G,G,G,G,107.00153846153846,100.0,0.0,G,G,G,G,10.0
2004-01-07,112.39,113.06,111.89,112.93,29904400.0,G,G,G,G,G,G,107.18211538461539,100.0,0.0,G,G,G,G,10.0
2004-01-08,113.25,113.41,112.77,113.38,36694100.0,G,G,G,G,G,G,107.375,100.0,0.0,G,G,G,G,10.0
2004-01-09,112.83,113.5,112.27,112.39,53727400.0,,G,G,G,G,G,107.54442307692308,100.0,0.0,B,G,G,G,8.0
2004-01-12,112.55,113.25,112.36,113.22,33000900.0,,G,G,G,G,G,107.72884615384615,100.0,0.0,B,G,G,G,8.0
2004-01-13,113.09,113.23,111.76,112.56,54150700.0,,G,G,G,G,G,107.87346153846154,100.0,0.0,B,G,G,G,8.0
2004-01-14,112.76,113.66,112.67,113.5,29744500.0,G,G,G,G,G,G,108.03346153846154,100.0,0.0,B,G,G,G,9.0
2004-01-15,113.57,114.06,112.58,113.78,38113700.0,G,G,G,G,G,G,108.19461538461539,100.0,0.0,B,G,G,G,9.0
2004-01-16,114.04,114.31,113.63,114.23,31825200.0,G,G,G,G,G,G,108.36634615384615,100.0,0.0,G,G,G,G,10.0
2004-01-20,114.53,114.65,113.82,114.2,29866400.0,,G,G,G,G,G,108.52423076923077,100.0,0.0,B,G,G,G,8.0
2004-01-21,114.13,115.3,113.72,115.1,30590000.0,G,G,G,G,G,G,108.70384615384614,100.0,0.0,G,G,G,G,10.0
2004-01-22,115.14,115.38,114.58,114.8,29890200.0,,G,G,G,G,G,108.87615384615384,100.0,0.0,B,G,G,G,8.0
2004-01-23,115.0,115.37,113.95,114.43,49572200.0,,G,G,G,G,G,109.03057692307692,100.0,0.0,B,G,G,G,8.0
2004-01-26,114.39,115.93,114.39,115.87,30473800.0,G,G,G,G,G,G,109.22692307692309,100.0,0.0,G,G,G,G,10.0
2004-01-27,115.75,116.5,114.65,114.68,34951500.0,,G,G,G,G,G,109.40961538461539,100.0,0.0,B,R,R,G,6.0
2004-01-28,114.98,115.28,112.94,113.37,52728600.0,,G,G,R,G,G,109.56769230769231,100.0,0.0,R,R,R,G,5.0
2004-01-29,113.56,113.85,112.56,113.48,59981200.0,,G,R,R,G,G,109.70519230769231,100.0,0.0,R,R,R,G,4.0
2004-01-30,113.52,113.72,113.09,113.48,30969700.0,,G,R,R,G,G,109.84211538461538,100.0,0.0,R,R,R,G,4.0
2004-02-02,113.7,114.68,113.12,113.97,38719000.0,,G,R,R,G,G,110.00576923076923,100.0,0.0,R,R,R,G,4.0
2004-02-03,113.74,114.14,113.44,113.78,25102200.0,,G,R,R,G,G,110.17596153846155,100.0,0.0,R,R,R,G,4.0
2004-02-04,113.19,113.73,112.79,112.85,39313700.0,,G,R,R,G,G,110.34923076923077,100.0,0.0,R,R,R,G,4.0
2004-02-05,113.17,113.54,112.78,113.18,34866700.0,,G,R,R,G,G,110.51192307692307,100.0,0.0,R,R,R,G,4.0
2004-02-06,113.42,114.7,113.2,114.45,37136600.0,,G,R,G,G,G,110.7176923076923,100.0,0.0,B,R,R,G,5.0
2004-02-09,114.67,114.87,114.29,114.48,24541200.0,,G,R,G,G,G,110.91519230769231,100.0,0.0,B,R,R,G,5.0
2004-02-10,114.28,115.14,114.26,114.85,27927000.0,,G,R,G,G,G,111.09326923076922,100.0,0.0,B,R,R,G,5.0
2004-02-11,114.85,116.39,114.17,116.07,42489800.0,,G,R,G,G,G,111.28711538461539,100.0,0.0,B,R,R,G,5.0
2004-02-12,115.97,116.27,115.58,115.65,27562800.0,,G,R,G,G,G,111.46557692307692,100.0,0.0,B,R,R,G,5.0
2004-02-13,115.82,116.2,114.75,115.13,43994800.0,,G,R,G,G,G,111.63250000000001,100.0,0.0,R,R,R,G,5.0
2004-02-17,115.85,116.43,115.77,116.17,23036800.0,G,G,R,G,G,G,111.7973076923077,100.0,0.0,B,G,G,G,8.0
2004-02-18,116.2,116.6,115.35,115.66,28645200.0,,G,R,G,G,G,111.9575,100.0,0.0,B,G,G,G,7.0
2004-02-19,116.33,116.39,115.06,115.23,50693100.0,,G,R,G,G,G,112.11269230769231,100.0,0.0,B,R,R,G,5.0
2004-02-20,115.48,115.5616,114.32,114.88,46444100.0,,G,R,R,G,G,112.2526923076923,100.0,0.0,R,R,R,G,4.0
2004-02-23,115.22,115.26,114.17,114.59,35022000.0,,G,R,R,G,G,112.40153846153846,100.0,0.0,R,R,R,G,4.0
2004-02-24,114.27,114.99,113.03,114.36,42936100.0,,R,R,R,R,G,112.53211538461538,100.0,0.0,R,R,R,G,2.0
2004-02-25,114.46,115.06,114.32,114.87,30924400.0,,G,R,R,G,G,112.68846153846154,100.0,0.0,B,R,R,B,3.0
2004-02-26,114.61,115.29,114.34,114.94,29366700.0,,G,R,R,G,G,112.84634615384616,100.0,0.0,B,R,R,B,3.0
2004-02-27,115.19,115.74,114.63,115.02,38845300.0,,G,R,G,G,G,112.98269230769232,100.0,0.0,B,R,R,B,4.0
2004-03-01,115.43,116.34,115.25,116.16,32529300.0,,G,R,G,G,G,113.13692307692307,100.0,0.0,B,R,R,B,4.0
2004-03-02,115.94,116.23,115.23,115.48,38200900.0,,G,R,G,G,G,113.28846153846153,100.0,0.0,B,R,R,B,4.0
2004-03-03,115.25,115.87,114.92,115.69,31231800.0,,G,R,G,G,G,113.43326923076924,100.0,0.0,B,R,R,B,4.0
2004-03-04,115.72,116.1,115.52,115.99,20986000.0,,G,R,G,G,G,113.5773076923077,100.0,0.0,B,R,R,G,5.0
2004-03-05,115.42,116.95,115.28,116.38,55059400.0,G,G,R,G,G,G,113.70538461538462,100.0,0.0,B,G,G,G,8.0
2004-03-08,116.34,116.62,114.91,114.96,38402900.0,,G,R,G,G,G,113.82192307692307,100.0,0.0,B,R,G,B,5.0
2004-03-09,115.1,115.21,114.24,114.5,39488700.0,,R,R,R,R,G,113.91499999999999,100.0,0.0,R,R,G,B,2.0
2004-03-10,114.72,114.77,112.56,112.58,66927000.0,R,R,R,R,R,G,113.9698076923077,100.0,0.0,R,R,G,B,2.0
2004-03-11,112.4,113.27,111.1,111.12,88445000.0,R,R,R,R,R,G,113.99865384615386,100.0,0.0,R,R,R,B,1.0
2004-03-12,111.73,112.71,111.58,112.58,53507100.0,,R,R,R,R,G,114.05403846153845,100.0,0.0,R,R,R,B,1.0
2004-03-15,112.27,112.35,110.9,111.2,56680400.0,R,R,R,R,R,G,114.05480769230768,100.0,0.0,R,R,R,B,1.0
2004-03-16,111.78,112.06,110.84,111.79,59470700.0,,R,G,R,R,G,114.06653846153846,100.0,0.0,B,R,R,B,2.0
2004-03-17,112.18,113.26,112.1,113.04,41477800.0,,R,G,R,R,G,114.1003846153846,100.0,0.0,B,R,R,B,2.0
2004-03-18,112.67,113.27,111.93,113.07,59242600.0,,R,G,R,R,G,114.13576923076924,100.0,0.0,B,R,G,B,3.0
2004-03-19,112.41,112.57,111.04,111.06,47516300.0,,R,R,R,R,G,114.10923076923076,100.0,0.0,R,R,R,B,1.0
2004-03-22,110.54,110.57,109.1,109.65,62031000.0,R,R,R,R,R,G,114.05346153846155,100.0,0.0,R,R,R,B,1.0
2004-03-23,110.25,110.4,109.36,109.52,53798900.0,,R,R,R,R,G,113.98788461538462,100.0,0.0,R,R,R,B,1.0
2004-03-24,109.64,110.14,108.85,109.55,51516000.0,R,R,R,R,R,G,113.91423076923077,100.0,0.0,B,R,R,R,1.0
2004-03-25,110.08,111.3,109.79,111.0,49428600.0,,R,R,R,R,G,113.88749999999999,100.0,0.0,B,R,R,R,1.0
2004-03-26,110.955,111.79,110.8,111.03,37396000.0,,R,R,G,R,G,113.84538461538462,100.0,0.0,B,R,R,R,2.0
2004-03-29,111.63,112.74,111.58,112.59,42810000.0,,R,R,G,R,G,113.84596153846154,100.0,0.0,B,R,G,B,3.0
2004-03-30,112.3,113.07,112.22,112.97,38835000.0,,G,R,G,G,G,113.83576923076923,100.0,0.0,B,G,G,B,6.0
2004-03-31,112.99,113.4,112.38,113.1,48213500.0,G,G,G,G,G,G,113.82269230769231,100.0,0.0,G,G,G,B,9.0
2004-04-01,113.07,113.87,113.05,113.78,44223800.0,G,G,G,G,G,G,113.81403846153846,100.0,0.0,G,G,G,B,9.0
2004-04-02,114.81,114.84,113.91,114.64,50452100.0,,G,G,G,G,G,113.82249999999999,100.0,0.0,G,G,G,B,8.0
2004-04-05,114.46,115.38,114.44,115.27,30176200.0,G,G,G,G,G,G,113.82576923076924,100.0,0.0,G,G,G,B,9.0
2004-04-06,114.83,115.18,114.62,114.9,28462200.0,,G,G,G,G,G,113.8276923076923,100.0,0.0,G,G,G,B,8.0
2004-04-07,114.94,114.98,114.11,114.63,44199100.0,,G,G,G,G,G,113.83153846153846,100.0,0.0,B,G,G,B,7.0
2004-04-08,115.41,115.41,113.74,114.37,45867200.0,,G,G,G,G,G,113.8026923076923,100.0,0.0,B,G,G,B,7.0
2004-04-12,114.58,115.08,114.57,114.82,23087100.0,,G,G,G,G,G,113.80538461538461,100.0,0.0,B,G,G,B,7.0
2004-04-13,115.26,115.3,113.07,113.21,56046400.0,,G,G,G,G,G,113.80230769230769,100.0,0.0,B,G,G,B,7.0
2004-04-14,112.61,113.64,112.56,113.39,61489600.0,,R,G,R,R,G,113.80057692307693,100.0,0.0,B,G,G,B,4.0
2004-04-15,113.45,113.78,112.36,112.96,61551800.0,,R,G,R,R,G,113.79057692307691,100.0,0.0,B,G,G,B,4.0
2004-04-16,113.43,114.05,112.98,113.83,46212900.0,,G,G,R,G,G,113.7878846153846,100.0,0.0,B,G,G,B,6.0
2004-04-19,113.55,113.99,113.27,113.83,28083300.0,,G,G,R,G,G,113.78884615384615,100.0,0.0,B,G,G,B,6.0
2004-04-20,114.08,114.32,111.78,111.92,53262900.0,,R,G,R,R,G,113.77096153846153,100.0,0.0,B,R,R,B,2.0
2004-04-21,112.2,112.95,111.87,112.67,49820300.0,,R,G,R,R,G,113.76115384615385,100.0,0.0,R,R,G,B,3.0
2004-04-22,112.48,114.67,112.44,114.25,61917800.0,,G,G,G,G,G,113.75730769230769,100.0,0.0,B,R,G,B,6.0
2004-04-23,114.42,114.57,113.79,114.36,29335700.0,,G,G,G,G,G,113.75500000000001,100.0,0.0,B,G,R,B,6.0
2004-04-26,114.5,114.94,113.6,114.2,35316800.0,,G,R,G,G,G,113.7425,100.0,0.0,G,G,R,B,6.0
2004-04-27,114.23,115.12,113.96,114.3,43234900.0,,G,G,G,G,G,113.70846153846153,100.0,0.0,G,G,G,B,8.0
2004-04-28,113.89,114.01,112.5,112.82,49353300.0,,R,R,R,R,G,113.65403846153846,100.0,0.0,B,R,G,B,2.0
2004-04-29,112.72,113.32,111.16,111.83,69404000.0,R,R,R,R,R,G,113.59057692307692,100.0,0.0,R,R,R,B,1.0
2004-04-30,112.17,112.38,110.9,110.96,48390700.0,R,R,R,R,R,G,113.49038461538461,100.0,0.0,R,R,R,B,1.0
2004-05-03,111.37,112.29,111.35,112.15,33709900.0,,R,R,R,R,G,113.42288461538462,100.0,0.0,B,R,R,B,1.0
2004-05-04,112.25,113.26,111.66,112.06,51064100.0,,R,R,R,R,G,113.36192307692308,100.0,0.0,B,R,R,B,1.0
2004-05-05,112.41,112.96,112.16,112.78,34360800.0,,R,R,R,R,G,113.32153846153847,100.0,0.0,B,R,R,B,1.0
2004-05-06,112.02,112.5895,111.0,111.81,54253000.0,,R,R,R,R,G,113.26807692307693,100.0,0.0,R,R,R,B,1.0
2004-05-07,111.22,112.23,109.96,109.96,60510700.0,R,R,R,R,R,G,113.18346153846154,100.0,0.0,R,R,R,B,1.0
2004-05-10,109.44,109.75,108.36,108.83,74273300.0,R,R,R,R,R,G,113.0673076923077,100.0,0.0,R,R,R,B,1.0
2004-05-11,109.46,110.05,109.33,109.75,48321200.0,,R,R,R,R,G,112.9675,100.0,0.0,B,R,R,B,1.0
2004-05-12,109.57,110.54,108.06,110.45,89478400.0,,R,R,R,R,G,112.87961538461538,100.0,0.0,B,R,R,B,1.0
2004-05-13,109.76,110.81,109.63,109.99,56787700.0,,R,R,R,R,G,112.76096153846153,100.0,0.0,B,R,R,B,1.0
2004-05-14,109.96,110.74,109.27,110.04,53859600.0,,R,R,R,R,G,112.65634615384616,100.0,0.0,B,R,R,B,1.0
2004-05-17,108.89,109.5,108.41,109.1,54832100.0,,R,R,R,R,G,112.52961538461538,100.0,0.0,R,R,G,R,2.0
2004-05-18,109.49,109.94,109.33,109.65,30181400.0,,R,G,R,R,G,112.4076923076923,100.0,0.0,B,R,G,R,3.0
2004-05-19,110.5,111.18,109.15,109.27,54366100.0,,R,R,G,R,G,112.27096153846153,100.0,0.0,B,R,G,R,3.0
2004-05-20,109.45,109.87,109.04,109.62,37972200.0,,R,G,R,R,G,112.16826923076923,100.0,0.0,B,R,G,R,3.0
2004-05-21,109.97,110.55,109.47,109.81,46665600.0,,R,G,G,R,G,112.0780769230769,100.0,0.0,B,R,G,R,4.0
2004-05-24,110.53,110.76,109.68,110.27,40868300.0,,R,G,G,R,G,112.03365384615384,100.0,0.0,B,G,G,B,5.0
2004-05-25,109.9,111.98,109.6,111.85,51285800.0,,R,G,G,R,G,112.04769230769232,100.0,0.0,G,G,G,B,6.0
2004-05-26,111.66,112.29,111.51,112.24,35519700.0,G,G,G,G,G,G,112.04115384615385,100.0,0.0,G,G,G,B,9.0
